index,title,genres,cast,keywords,director
16,The Avengers,Science Fiction Action Adventure,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,new york shield marvel comic superhero based on comic book,Joss Whedon
17,Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,sea captain mutiny sword prime minister,Rob Marshall
18,Men in Black 3,Action Comedy Science Fiction,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,time travel time machine alien fictional government agency seeing the future,Barry Sonnenfeld
19,The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,corruption elves dwarves orcs middle-earth (tolkien),Peter Jackson
20,The Amazing Spider-Man,Action Adventure Fantasy,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,loss of father vigilante serum marvel comic scientific experiment,Marc Webb
21,Robin Hood,Action Adventure,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,robin hood archer knight sherwood forest bow and arrow,Ridley Scott
22,The Hobbit: The Desolation of Smaug,Adventure Fantasy,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,elves dwarves orcs hobbit dragon,Peter Jackson
23,The Golden Compass,Adventure Fantasy,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,england compass experiment lordship uncle,Chris Weitz
24,King Kong,Adventure Drama Action,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,film business screenplay show business film making film producer,Peter Jackson
25,Titanic,Drama Romance Thriller,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,shipwreck iceberg ship panic titanic,James Cameron
26,Captain America: Civil War,Adventure Action Science Fiction,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,civil war war marvel comic sequel superhero,Anthony Russo
27,Battleship,Thriller Action Adventure Science Fiction,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,fight u.s. navy mind reading hong kong soccer,Peter Berg
28,Jurassic World,Action Adventure Science Fiction Thriller,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,monster dna tyrannosaurus rex velociraptor island,Colin Trevorrow
29,Skyfall,Action Adventure Thriller,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,spy secret agent sociopath killer art gallery,Sam Mendes
30,Spider-Man 2,Action Adventure Fantasy,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,dual identity love of one's life pizza boy marvel comic sequel,Sam Raimi
31,Iron Man 3,Action Adventure Science Fiction,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,terrorist war on terror tennessee malibu marvel comic,Shane Black
32,Alice in Wonderland,Family Fantasy Adventure,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,based on novel fictional place queen fantasy alice in wonderland,Tim Burton
33,X-Men: The Last Stand,Adventure Action Science Fiction Thriller,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,mutant marvel comic based on comic book superhuman beast,Brett Ratner
34,Monsters University,Animation Family,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,monster dormitory games animation best friend,Dan Scanlon
35,Transformers: Revenge of the Fallen,Science Fiction Action Adventure,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,egypt sun chaos symbol artifact,Michael Bay
36,Transformers: Age of Extinction,Science Fiction Action Adventure,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,sequel alien transformers giant robot robot,Michael Bay
37,Oz: The Great and Powerful,Fantasy Adventure Family,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,circus witch magic hope illusion,Sam Raimi
38,The Amazing Spider-Man 2,Action Adventure Fantasy,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,obsession marvel comic sequel based on comic book electrocution,Marc Webb
39,TRON: Legacy,Adventure Action Science Fiction,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,artificial intelligence secret identity computer program dystopia computer,Joseph Kosinski
40,Cars 2,Animation Family Adventure Comedy,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,car race sequel comedy anthropomorphism best friend,John Lasseter
41,Green Lantern,Adventure Action Thriller Science Fiction,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,dc comics transformation superhero alien alien infection,Martin Campbell
42,Toy Story 3,Animation Family Comedy,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,hostage college toy barbie animation,Lee Unkrich
43,Terminator Salvation,Action Science Fiction Thriller,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,saving the world artificial intelligence prophecy san francisco cyborg,McG
44,Furious 7,Action,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,car race speed revenge suspense car,James Wan
45,World War Z,Action Drama Horror Science Fiction Thriller,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,dystopia apocalypse zombie nuclear weapons multiple perspectives,Marc Forster
46,X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,1970s mutant time travel marvel comic based on comic book,Bryan Singer
47,Star Trek Into Darkness,Action Adventure Science Fiction,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,spacecraft friendship sequel futuristic space,J.J. Abrams
48,Jack the Giant Slayer,Action Family Fantasy,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,based on fairy tale giant,Bryan Singer
49,The Great Gatsby,Drama Romance,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,based on novel infidelity obsession hope 3d,Baz Luhrmann
50,Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,persia sandstorm brother against brother armageddon regent,Mike Newell
51,Pacific Rim,Action Science Fiction Adventure,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,dystopia giant robot giant monster apocalypse imax,Guillermo del Toro
52,Transformers: Dark of the Moon,Action Science Fiction Adventure,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,moon spacecraft traitor bodyguard alien planet,Michael Bay
53,Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,saving the world riddle whip treasure mexico city,Steven Spielberg
54,The Good Dinosaur,Adventure Animation Family,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,tyrannosaurus rex friends alternate history dinosaur fear,Peter Sohn
55,Brave,Animation Adventure Comedy Family Action,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,scotland rebel bravery kingdom archer,Brenda Chapman
56,Star Trek Beyond,Action Adventure Science Fiction,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,sequel stranded hatred space opera,Justin Lin
57,WALL·E,Animation Family,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,romantic comedy,Andrew Stanton
58,Rush Hour 3,Action Comedy Crime Thriller,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,ambassador,Brett Ratner
59,2012,Action Adventure Science Fiction,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,civilization natural disaster end of the world disaster apocalypse,Roland Emmerich
60,A Christmas Carol,Animation Drama,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,holiday based on novel victorian england money christmas eve,Robert Zemeckis
61,Jupiter Ascending,Science Fiction Fantasy Action Adventure,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,jupiter space woman director 3d interspecies romance,Lilly Wachowski
62,The Legend of Tarzan,Action Adventure,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,africa feral child tarzan jungle animal attack,David Yates
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,saving the world witch based on novel brother sister relationship self sacrifice,Andrew Adamson
64,X-Men: Apocalypse,Science Fiction,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,mutant supernatural powers marvel comic superhero based on comic book,Bryan Singer
65,The Dark Knight,Drama Action Crime Thriller,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,dc comics crime fighter secret identity scarecrow sadism,Christopher Nolan
66,Up,Animation Comedy Family Adventure,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,age difference central and south america balloon animation floating in the air,Pete Docter
67,Monsters vs Aliens,Animation Family Adventure Science Fiction,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,alien giant robot duringcreditsstinger,Conrad Vernon
68,Iron Man,Action Science Fiction Adventure,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,middle east arms dealer malibu marvel comic superhero,Jon Favreau
69,Hugo,Adventure Drama Family,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,library clock film director key toy,Martin Scorsese
70,Wild Wild West,Action Adventure Comedy Science Fiction Western,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,steampunk based on tv series steam locomotive drag,Barry Sonnenfeld
71,The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,,Rob Cohen
72,Suicide Squad,Action Adventure Crime Fantasy Science Fiction,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,dc comics shared universe anti hero secret mission villain,David Ayer
73,Evan Almighty,Fantasy Comedy Family,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,father son relationship daily life married couple support father,Tom Shadyac
74,Edge of Tomorrow,Action Science Fiction,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,deja vu time warp restart dystopia war,Doug Liman
75,Waterworld,Adventure Action,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,ocean tattoo mutant water dystopia,Kevin Reynolds
76,G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,terrorist secret hostage technology warhead,Stephen Sommers
77,Inside Out,Drama Comedy Animation Family,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,dream cartoon imaginary friend animation family,Pete Docter
78,The Jungle Book,Family Adventure Drama Fantasy,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,based on novel snake wolf elephant tiger,Jon Favreau
79,Iron Man 2,Adventure Action Science Fiction,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,malibu marvel comic superhero based on comic book revenge,Jon Favreau
80,Snow White and the Huntsman,Adventure Fantasy Drama,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,queen magic fairy tale immortality forest,Rupert Sanders
81,Maleficent,Fantasy Adventure Action Family Romance,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,fairy tale villain sleeping beauty dark fantasy based on fairy tale,Robert Stromberg
82,Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,leader colony post-apocalyptic dystopia forest,Matt Reeves
83,The Lovers,Action Adventure Science Fiction Romance,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,,Roland Joff\u00e9
84,47 Ronin,Drama Action Adventure Fantasy,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,japan suicide samurai based on true story samurai sword,Carl Rinsch
85,Captain America: The Winter Soldier,Action Adventure Science Fiction,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,washington d.c. future shield marvel comic superhero,Anthony Russo
86,Shrek Forever After,Comedy Adventure Fantasy Animation Family,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,ogre 3d,Mike Mitchell
87,Tomorrowland,Adventure Family Mystery Science Fiction,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,inventor apocalypse destiny imax dreamer,Brad Bird
88,Big Hero 6,Adventure Family Animation Action Comedy,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,brother brother relationship hero talent revenge best friend,Chris Williams
89,Wreck-It Ralph,Family Animation Comedy Adventure,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,support group product placement bullying racing arcade,Rich Moore
90,The Polar Express,Adventure Animation Family Fantasy,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,santa claus nerd faith gift bell,Robert Zemeckis
91,Independence Day: Resurgence,Action Adventure Science Fiction,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,alternate history alien invasion,Roland Emmerich
92,How to Train Your Dragon,Fantasy Adventure Animation Family,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,flying blacksmith arena island night,Chris Sanders
93,Terminator 3: Rise of the Machines,Action Thriller Science Fiction,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,saving the world artificial intelligence man vs machine cyborg killer robot,Jonathan Mostow
94,Guardians of the Galaxy,Action Science Fiction Adventure,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,marvel comic spaceship space outer space orphan,James Gunn
95,Interstellar,Adventure Drama Science Fiction,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,saving the world artificial intelligence father son relationship single parent nasa,Christopher Nolan
96,Inception,Action Thriller Science Fiction Mystery Adventure,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,loss of lover dream kidnapping sleep subconsciousness,Christopher Nolan
97,Shin Godzilla,Action Adventure Drama Horror Science Fiction,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,monster godzilla giant monster destruction kaiju,Hideaki Anno
98,The Hobbit: An Unexpected Journey,Adventure Fantasy Action,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,riddle elves dwarves orcs middle-earth (tolkien),Peter Jackson
99,The Fast and the Furious,Action Crime Thriller,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,street gang car race undercover auto-tuning los angeles,Rob Cohen
100,The Curious Case of Benjamin Button,Fantasy Drama Thriller Mystery Romance,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,diary navy funeral tea travel,David Fincher
101,X-Men: First Class,Action Science Fiction Adventure,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,cia mutant mine marvel comic superhero,Matthew Vaughn
102,The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,revolution strong woman dystopia game of death 3d,Francis Lawrence
103,The Sorcerer's Apprentice,Fantasy Adventure Action Comedy Drama,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,witch fire wolf fountain magic,Jon Turteltaub
104,Poseidon,Adventure Action Drama Thriller,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,new year's eve fire drowning cataclysm loss of father,Wolfgang Petersen
105,Alice Through the Looking Glass,Fantasy,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,based on novel clock queen sequel alice in wonderland,James Bobin
106,Shrek the Third,Fantasy Adventure Animation Comedy Family,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,ambush sadness stage liberation of prisoners island,Chris Miller
107,Warcraft,Action Adventure Fantasy,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,video game elves orcs magic chase,Duncan Jones
108,Terminator Genisys,Science Fiction Action Thriller Adventure,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,saving the world artificial intelligence cyborg killer robot future,Alan Taylor
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,based on novel magic good vs evil king narnia,Michael Apted
110,Pearl Harbor,History Romance War,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,nurse patriotism hawaii world war ii pilot,Michael Bay
111,Transformers,Adventure Science Fiction Action,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,destroy transformation alien based on toy transformers,Michael Bay
112,Alexander,War History Action Adventure Drama,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,aristotle egypt greece persia elephant,Oliver Stone
113,Harry Potter and the Order of the Phoenix,Adventure Fantasy Family Mystery,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,prophecy witch loss of lover magic cutting the cord,David Yates
114,Harry Potter and the Goblet of Fire,Adventure Fantasy Family,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,magic dying and death broom sorcerer's apprentice school of witchcraft,Mike Newell
115,Hancock,Fantasy Action,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,flying alcohol love of one's life forbidden love lovers,Peter Berg
116,I Am Legend,Drama Horror Action Thriller Science Fiction,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,Francis Lawrence
117,Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,london england father son relationship chocolate factory worker based on novel,Tim Burton
118,Ratatouille,Animation Comedy Family Fantasy,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,paris brother brother relationship expensive restaurant river cook,Jan Pinkava
119,Batman Begins,Action Crime Drama,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,himalaya martial arts dc comics crime fighter secret identity,Christopher Nolan
120,Madagascar: Escape 2 Africa,Family Animation,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,africa jealousy dance hunger lion,Eric Darnell
121,Night at the Museum: Battle of the Smithsonian,Adventure Fantasy Action Comedy Family,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,Shawn Levy
122,X-Men Origins: Wolverine,Adventure Action Thriller Science Fiction,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,corruption mutant boxer army marvel comic,Gavin Hood
123,The Matrix Revolutions,Adventure Action Thriller Science Fiction,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,saving the world artificial intelligence man vs machine flying philosophy,Lilly Wachowski
124,Frozen,Animation Adventure Family,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,queen musical princess betrayal snowman,Chris Buck
125,The Matrix Reloaded,Adventure Action Thriller Science Fiction,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,saving the world artificial intelligence man vs machine martial arts kung fu,Lilly Wachowski
126,Thor: The Dark World,Action Adventure Fantasy,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,marvel comic superhero based on comic book hostile takeover norse mythology,Alan Taylor
127,Mad Max: Fury Road,Action Adventure Science Fiction Thriller,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,future chase post-apocalyptic dystopia australia,George Miller
128,Angels & Demons,Thriller Mystery,Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino,rome vatican based on novel symbolism christian,Ron Howard
129,Thor,Adventure Fantasy Action,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,new mexico banishment shield marvel comic hammer,Kenneth Branagh
130,Bolt,Animation Family Adventure Comedy,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell,hamster kids and family animal cat vs dog duringcreditsstinger,Chris Williams
131,G-Force,Fantasy Action Adventure Family Comedy,Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi,dyr duringcreditsstinger,Hoyt Yeatman
132,Wrath of the Titans,Adventure,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell,underworld hades mythology greek mythology zeus,Jonathan Liebesman
133,Dark Shadows,Comedy Fantasy,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,witch imprisonment vampire curse fish out of water,Tim Burton
134,Mission: Impossible - Rogue Nation,Action Adventure Thriller,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,london england spy austria villain sequel,Christopher McQuarrie
135,The Wolfman,Drama Horror Thriller,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes,father son relationship victorian england remake rural setting werewolf,Joe Johnston
136,Bee Movie,Family Animation Adventure Comedy,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,factory worker tennis flower florist flower shop,Steve Hickner
137,Kung Fu Panda 2,Animation Family,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan,martial arts hope fleet panda mission,Jennifer Yuh Nelson
138,The Last Airbender,Action Adventure Family Fantasy,Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub,fire ice war ship prince kingdom,M. Night Shyamalan
139,Mission: Impossible III,Adventure Action Thriller,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers,berlin cia vatican white house secret identity,J.J. Abrams
140,White House Down,Action Drama Thriller,Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins,usa president conspiracy secret service the white house,Roland Emmerich
141,Mars Needs Moms,Adventure Animation Family,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois,boy alien rescue martian alien abduction,Simon Wells
142,Flushed Away,Adventure Animation Comedy Family,Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy,london england underworld return ship frog,David Bowers
143,Pan,Adventure Family Fantasy,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,flying magic fairy tale peter pan mermaid,Joe Wright
144,Mr. Peabody & Sherman,Animation Adventure Family,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper,father son relationship egypt intelligence adoption time travel,Rob Minkoff
145,Troy,Adventure Drama War,Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean,brother brother relationship adultery mythology beauty trojan war,Wolfgang Petersen
146,Madagascar 3: Europe's Most Wanted,Animation Family,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock,madagascar 3d,Conrad Vernon
147,Die Another Day,Adventure Action Thriller,Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens,laser british secret service secret service agent space based weapon,Lee Tamahori
148,Ghostbusters,Action Fantasy Comedy,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,female friendship ghost hunting reboot ghost,Paul Feig
149,Armageddon,Action Thriller Science Fiction Adventure,Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler Will Patton,saving the world paris moon cataclysm asteroid,Michael Bay
150,Men in Black II,Action Adventure Comedy Science Fiction,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville,saving the world secret identity sun glasses undercover space marine,Barry Sonnenfeld
151,Beowulf,Adventure Action Animation,Ray Winstone Angelina Jolie Anthony Hopkins Robin Wright John Malkovich,denmark nordic mythology lie pride and vanity folk hero,Robert Zemeckis
152,Kung Fu Panda 3,Action Adventure Animation Comedy Family,Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons,china martial arts kung fu village panda,Jennifer Yuh Nelson
153,Mission: Impossible - Ghost Protocol,Action Thriller Adventure,Tom Cruise Jeremy Renner Simon Pegg Paula Patton Anil Kapoor,fight sequel mission explosion broken arm,Brad Bird
